BCL11B Q9C0K0
BCL2 P10415
BCL2A1 Q16548
BCL2L10 Q9HD36
BCL2L12 Q9HB09
BCL2L13 Q9BXK5
BCL2L15 Q5TBC7
BCL2L2 Q92843
BCL6 P41182
BCL7A Q4VC05
BCL9 O00512
BCLAF1 Q9NYF8
BCO1 Q9HAY6
BCO2 Q9BYV7
BCOR Q6W2J9
BCORL1 Q5H9F3
BCR P11274
BCS1L Q9Y276
BDH2 Q9BUT1
BDKRB1 P46663
BDKRB2 P30411
BDNF P23560
BDP1 A6H8Y1
BECN1 Q14457
BEND2 Q8NDZ0
BEND7 Q8N7W2
BEST1 O76090
BEST3 Q8N1M1
BEST4 Q8NFU0
BEX1 Q9HBH7
BFAR Q9NZS9
BFSP1 Q12934
BFSP2 Q13515
BGLAP P02818
BGN P21810
BHLHA9 Q7RTU4
BHLHB9 Q6PI77
BHLHE22 Q8NFJ8
BHLHE41 Q9C0J9
BHMT Q93088
BICC1 Q9H694
BICD1 Q96G01
BICD2 Q8TD16
BICDL2 A1A5D9
BICRA Q9NZM4
BID P55957
BIK Q13323
BIN1 O00499
BIN2 Q9UBW5
BIRC2 Q13490
BIRC3 Q13489
BIRC5 O15392
BIRC7 Q96CA5
BIRC8 Q96P09
BLCAP P62952
BLID Q8IZY5
BLK P51451
BLM P54132
BLMH Q13867
BLOC1S2 Q6QNY1
BLVRA P53004
BLVRB P30043
BLZF1 Q9H2G9
BMI1 P35226
BMP1 P13497
BMP10 O95393
BMP15 O95972
BMP2 P12643
BMP2K Q9NSY1
BMP3 P12645
BMP4 P12644
BMP5 P22003
BMP6 P22004
BMP7 P18075
BMP8A Q7Z5Y6
BMP8B P34820
BMPER Q8N8U9
BMPR1A P36894
BMPR1B O00238
BMPR2 Q13873
BMS1 Q14692
BMX P51813
BNC1 Q01954
BNC2 Q6ZN30
BNIP1 Q12981
BNIP2 Q12982
BNIP5 P0C671
BNIPL Q7Z465
BOC Q9BWV1
BOD1L1 Q8NFC6
BOLA1 Q9Y3E2
BOLA3 Q53S33
BORA Q6PGQ7
BORCS5 Q969J3
BPGM P07738
BPI P17213
BPIFA2 Q96DR5
BPIFA3 Q9BQP9
BPIFB1 Q8TDL5
BPIFB2 Q8N4F0
BPIFB3 P59826
BPIFB4 P59827
BPIFB6 Q8NFQ5
BPIFC Q8NFQ6
BPNT2 Q9NX62
BPTF Q12830
BRAF P15056
BRAT1 Q6PJG6
BRAWNIN Q69YU5
BRCA1 P38398
BRCA2 P51587
BRCC3 P46736
BRD1 O95696
